checkout_date,degree,checkout_count
2019-03-27,Alumni,48.0
2019-03-27,Teacher,590.0
2019-03-27,bachelor degree,77.0
2019-03-27,doctoral degree,44.0
2019-03-27,master degree,106.0
2019-03-28,doctoral degree,23.0
2019-03-28,bachelor degree,222.0
2019-03-28,master degree,37.0
2019-03-28,Alumni,4.0
2019-03-28,Teacher,908.0
2019-03-29,Alumni,12.0
2019-03-29,Teacher,220.0
2019-03-29,bachelor degree,101.0
2019-03-29,doctoral degree,14.0
2019-03-29,master degree,63.0
2019-03-30,Alumni,15.0
2019-03-30,Teacher,26.0
2019-03-30,bachelor degree,76.0
2019-03-30,doctoral degree,33.0
2019-03-30,master degree,51.0
2019-03-31,master degree,51.0
2019-03-31,doctoral degree,5.0
2019-03-31,Alumni,30.0
2019-03-31,bachelor degree,33.0
2019-04-01,Alumni,46.0
2019-04-01,Teacher,74.0
2019-04-01,bachelor degree,115.0
2019-04-01,doctoral degree,38.0
2019-04-01,master degree,79.0
2019-04-02,doctoral degree,62.0
2019-04-02,bachelor degree,146.0
2019-04-02,master degree,85.0
2019-04-02,Alumni,10.0
2019-04-02,Teacher,788.0
2019-04-03,Alumni,0.0
2019-04-03,Teacher,26.0
2019-04-03,bachelor degree,82.0
2019-04-03,doctoral degree,53.0
2019-04-03,master degree,56.0
2019-04-04,Alumni,2.0
2019-04-04,Teacher,496.0
2019-04-04,bachelor degree,77.0
2019-04-04,doctoral degree,107.0
2019-04-04,master degree,37.0
2019-04-05,master degree,118.0
2019-04-05,doctoral degree,241.0
2019-04-05,Alumni,25.0
2019-04-05,Teacher,706.0
2019-04-05,bachelor degree,116.0
2019-04-07,bachelor degree,0.0
2019-04-07,master degree,6.0
2019-04-09,Alumni,57.0
2019-04-09,Teacher,896.0
2019-04-09,bachelor degree,216.0
2019-04-09,doctoral degree,80.0
2019-04-09,master degree,130.0
2019-04-10,master degree,174.0
2019-04-10,doctoral degree,130.0
2019-04-10,bachelor degree,306.0
2019-04-10,Teacher,1332.0
2019-04-10,Alumni,43.0
2019-04-11,Alumni,27.0
2019-04-11,Teacher,1770.0
2019-04-11,bachelor degree,302.0
2019-04-11,doctoral degree,352.0
2019-04-11,master degree,242.0
2019-04-16,bachelor degree,0.0
2019-04-17,doctoral degree,69.0
