,Member_type,Duration(day)
734,bachelor degree,8.0
735,bachelor degree,8.0
736,bachelor degree,14.0
737,bachelor degree,5.0
738,bachelor degree,15.0
739,bachelor degree,10.0
740,bachelor degree,14.0
741,bachelor degree,10.0
742,bachelor degree,12.0
743,bachelor degree,9.0
744,bachelor degree,18.0
745,bachelor degree,6.0
746,bachelor degree,2.0
747,bachelor degree,8.0
748,bachelor degree,7.0
749,bachelor degree,1.0
750,bachelor degree,24.0
751,bachelor degree,26.0
752,bachelor degree,64.0
753,bachelor degree,3.0
754,bachelor degree,10.0
755,bachelor degree,10.0
756,bachelor degree,25.0
757,bachelor degree,7.0
758,bachelor degree,33.0
759,bachelor degree,10.0
760,bachelor degree,60.0
761,bachelor degree,19.0
762,bachelor degree,2.0
763,bachelor degree,3.0
764,bachelor degree,1.0
765,bachelor degree,7.0
766,bachelor degree,14.0
767,bachelor degree,10.0
768,bachelor degree,4.0
769,bachelor degree,4.0
770,bachelor degree,4.0
771,bachelor degree,4.0
772,bachelor degree,4.0
774,bachelor degree,4.0
775,bachelor degree,4.0
776,bachelor degree,4.0
777,bachelor degree,11.0
778,bachelor degree,3.0
779,bachelor degree,11.0
783,bachelor degree,4.0
784,bachelor degree,13.0
785,bachelor degree,3.0
787,bachelor degree,4.0
788,bachelor degree,4.0
789,bachelor degree,4.0
790,bachelor degree,4.0
791,bachelor degree,2.0
792,bachelor degree,3.0
794,bachelor degree,4.0
795,bachelor degree,4.0
796,bachelor degree,4.0
797,bachelor degree,4.0
798,bachelor degree,2.0
799,bachelor degree,3.0
801,bachelor degree,4.0
802,bachelor degree,20.0
803,bachelor degree,4.0
804,bachelor degree,4.0
805,bachelor degree,8.0
806,bachelor degree,4.0
807,bachelor degree,4.0
809,bachelor degree,4.0
810,bachelor degree,3.0
811,bachelor degree,4.0
812,bachelor degree,4.0
813,bachelor degree,16.0
814,bachelor degree,5.0
815,bachelor degree,28.0
816,bachelor degree,21.0
817,bachelor degree,15.0
818,bachelor degree,14.0
819,bachelor degree,20.0
820,bachelor degree,33.0
821,bachelor degree,29.0
822,bachelor degree,2.0
823,bachelor degree,8.0
824,bachelor degree,8.0
825,bachelor degree,7.0
826,bachelor degree,3.0
827,bachelor degree,8.0
828,bachelor degree,14.0
829,bachelor degree,14.0
830,bachelor degree,11.0
831,bachelor degree,6.0
832,bachelor degree,11.0
835,bachelor degree,19.0
836,bachelor degree,10.0
837,bachelor degree,121.0
839,bachelor degree,28.0
840,bachelor degree,17.0
841,bachelor degree,4.0
842,bachelor degree,20.0
843,bachelor degree,26.0
844,bachelor degree,32.0
845,bachelor degree,34.0
846,bachelor degree,132.0
847,bachelor degree,108.0
848,bachelor degree,147.0
849,bachelor degree,9.0
850,bachelor degree,12.0
851,bachelor degree,10.0
852,bachelor degree,14.0
853,bachelor degree,13.0
855,bachelor degree,24.0
856,bachelor degree,8.0
857,bachelor degree,1.0
858,bachelor degree,14.0
859,bachelor degree,35.0
860,bachelor degree,30.0
861,bachelor degree,14.0
862,bachelor degree,34.0
863,bachelor degree,10.0
865,bachelor degree,14.0
866,bachelor degree,25.0
867,bachelor degree,29.0
868,bachelor degree,11.0
869,bachelor degree,12.0
870,bachelor degree,3.0
872,bachelor degree,36.0
873,bachelor degree,147.0
874,bachelor degree,3.0
875,bachelor degree,4.0
876,bachelor degree,12.0
877,bachelor degree,7.0
878,bachelor degree,56.0
879,bachelor degree,2.0
880,bachelor degree,30.0
881,bachelor degree,56.0
882,bachelor degree,14.0
883,bachelor degree,13.0
884,bachelor degree,74.0
885,bachelor degree,22.0
886,bachelor degree,14.0
887,bachelor degree,29.0
888,bachelor degree,27.0
889,bachelor degree,29.0
890,bachelor degree,13.0
891,bachelor degree,12.0
892,bachelor degree,11.0
893,bachelor degree,3.0
894,bachelor degree,6.0
895,bachelor degree,12.0
896,bachelor degree,13.0
897,bachelor degree,20.0
898,bachelor degree,3.0
899,bachelor degree,14.0
900,bachelor degree,7.0
901,bachelor degree,7.0
903,bachelor degree,13.0
904,bachelor degree,98.0
905,bachelor degree,10.0
906,bachelor degree,22.0
907,bachelor degree,14.0
908,bachelor degree,28.0
909,bachelor degree,5.0
910,bachelor degree,29.0
911,bachelor degree,16.0
912,bachelor degree,5.0
